#globalid	lon	lat	neg	120	200	300	600	1000	1800	3600	pos	120_1	200_1	300_1	600_1	1000_1	1800_1	3600_1	prof	name	area	previd
id01854	15.828009000000000	38.362467000000002	neg	4.930000000000000	2.990000000000000	1.510000000000000	1.080000000000000	1.030000000000000	1.010000000000000	1.000000000000000	pos	3.160000000000000	2.480000000000000	1.890000000000000	1.130000000000000	1.040000000000000	1.010000000000000	1.000000000000000	real	MED	med8759	"8759"
id01855	15.641667000000000	38.237847000000002	neg	5.230000000000000	4.340000000000000	3.620000000000000	1.640000000000000	1.080000000000000	1.040000000000000	1.010000000000000	pos	4.360000000000001	3.770000000000000	3.200000000000000	2.130000000000000	1.370000000000000	1.090000000000000	1.010000000000000	real	MED	med8767	"8767"
id01856	15.766667000000000	37.911580999999998	neg	3.040000000000000	1.430000000000000	1.160000000000000	1.040000000000000	1.010000000000000	1.000000000000000	1.000000000000000	pos	2.520000000000000	1.800000000000000	1.290000000000000	1.040000000000000	1.010000000000000	1.000000000000000	1.000000000000000	real	MED	med8782	"8782"
id01857	15.991667000000000	37.893870000000000	neg	5.330000000000000	4.760000000000000	3.800000000000000	3.190000000000000	2.200000000000000	1.350000000000000	1.030000000000000	pos	4.390000000000000	3.780000000000000	3.290000000000000	2.600000000000000	2.270000000000000	1.480000000000000	1.100000000000000	real	MED	med8790	"8790"
id01858	16.154423000000001	38.000000000000000	neg	6.050000000000000	5.370000000000000	4.380000000000000	4.300000000000000	2.220000000000000	1.340000000000000	1.070000000000000	pos	4.840000000000000	4.300000000000000	3.780000000000000	2.910000000000000	2.290000000000000	1.460000000000000	1.140000000000000	real	MED	med8799	"8799"
id01859	16.216615999999998	38.166666999999997	neg	5.780000000000000	4.950000000000000	4.490000000000000	2.550000000000000	1.370000000000000	1.060000000000000	1.020000000000000	pos	4.620000000000000	4.030000000000000	3.430000000000000	2.530000000000000	1.810000000000000	1.200000000000000	1.030000000000000	real	MED	med8807	"8807"
id01860	16.362949000000000	38.299999999999997	neg	5.710000000000000	5.070000000000000	4.560000000000000	2.900000000000000	1.490000000000000	1.110000000000000	1.030000000000000	pos	4.610000000000000	4.000000000000000	3.500000000000000	2.610000000000000	1.980000000000000	1.250000000000000	1.040000000000000	real	MED	med8815	"8815"
id01886	15.005155000000000	38.383333000000000	neg	5.210000000000000	4.230000000000001	4.000000000000000	1.540000000000000	1.260000000000000	1.060000000000000	1.020000000000000	pos	4.200000000000000	3.630000000000000	3.120000000000000	2.210000000000000	1.420000000000000	1.100000000000000	1.020000000000000	real	MED	med9102	"9102"
id01887	15.533333000000001	38.325156000000000	neg	5.210000000000000	4.870000000000000	3.880000000000000	3.010000000000000	1.330000000000000	1.070000000000000	1.020000000000000	pos	4.170000000000000	3.540000000000000	3.020000000000000	2.330000000000000	1.590000000000000	1.150000000000000	1.020000000000000	real	MED	med9111	"9111"
id01888	15.537540999999999	38.149999999999999	neg	5.210000000000000	4.870000000000000	3.880000000000000	3.010000000000000	1.330000000000000	1.070000000000000	1.020000000000000	pos	4.170000000000000	3.540000000000000	3.020000000000000	2.330000000000000	1.590000000000000	1.150000000000000	1.020000000000000	real	MED	med9123	"9123"
id01889	15.425000000000001	38.002212000000000	neg	5.210000000000000	4.870000000000000	3.880000000000000	3.010000000000000	1.330000000000000	1.070000000000000	1.020000000000000	pos	4.170000000000000	3.540000000000000	3.020000000000000	2.330000000000000	1.590000000000000	1.150000000000000	1.020000000000000	real	MED	med9131	"9131"
id01890	15.304611000000000	37.858333000000002	neg	2.320000000000000	1.280000000000000	1.130000000000000	1.030000000000000	1.010000000000000	1.000000000000000	1.000000000000000	pos	2.340000000000000	1.510000000000000	1.170000000000000	1.040000000000000	1.010000000000000	1.000000000000000	1.000000000000000	real	MED	med9138	"9138"
id01891	15.133333000000000	37.536769000000000	neg	3.990000000000000	4.370000000000000	2.260000000000000	1.200000000000000	1.060000000000000	1.020000000000000	1.000000000000000	pos	2.930000000000000	2.490000000000000	2.180000000000000	1.340000000000000	1.130000000000000	1.020000000000000	1.010000000000000	real	MED	med9153	"9153"
id01892	15.158333000000001	37.355221000000000	neg	5.040000000000000	4.210000000000000	3.300000000000000	2.570000000000000	2.650000000000000	2.650000000000000	1.150000000000000	pos	4.150000000000001	3.550000000000000	3.080000000000000	2.350000000000000	2.140000000000000	2.040000000000000	1.460000000000000	real	MED	med9159	"9159"
id01893	15.247033000000000	37.208333000000003	neg	4.910000000000000	4.950000000000000	3.710000000000000	1.570000000000000	1.210000000000000	1.060000000000000	1.020000000000000	pos	4.030000000000000	3.450000000000000	3.000000000000000	2.160000000000000	1.270000000000000	1.070000000000000	1.030000000000000	real	MED	med9167	"9167"
id01894	15.324999999999999	37.037843000000002	neg	5.850000000000000	5.430000000000000	4.730000000000000	4.080000000000000	1.580000000000000	1.320000000000000	1.060000000000000	pos	4.750000000000000	4.180000000000000	3.680000000000000	2.770000000000000	2.210000000000000	1.340000000000000	1.080000000000000	real	MED	med9174	"9174"
id01895	15.178305000000000	36.899999999999999	neg	5.630000000000000	4.810000000000000	4.050000000000000	3.380000000000000	2.130000000000000	1.290000000000000	1.060000000000000	pos	4.630000000000000	4.080000000000000	3.630000000000000	2.910000000000000	2.360000000000000	1.600000000000000	1.120000000000000	real	MED	med9183	"9183"
